id,created_at,updated_at,city_id,opening_hr,closing_hr,delivery_charge,description_en,description_ar,menus_count,reviews_count,branches_count,photos_count,name_en,name_ar
2321452,1267458840,1433432945,2051,600,1560,0,,NULL,1,0,1,0,3al Ahwa Cafe (Closed),عالقهوة كافيه (مغلق)
2321453,1267458840,1477830938,2052,660,1560,0,,NULL,1,8,2,2,Abdo Kofta,عبده كفتة
2321454,1267458840,1471792792,2053,720,1560,0,,NULL,1,0,3,1,Abo Adel,أبو عادل
2321455,1267458840,1480982763,2054,60,1560,0,,,1,26,7,41,Abou El Sid,أبو السيد
2321456,1267458840,1477923371,2055,720,720,0,,NULL,1,0,0,0,Abou Ghaly,ابو غالي
2321457,1267458840,1478714346,2056,660,1560,0,,,1,33,9,23,Abou Shakra,أبو شقرة
2321458,1267458840,1480497940,2057,720,1560,0,,NULL,1,39,3,17,Abo Ammar El Souri,أبو عمار السورى
2321459,1267458840,1477831191,2058,60,1560,0,,,1,36,8,136,Auntie Anne's,أنتي أنز
2321460,1267458840,1470324990,2059,720,720,0,,NULL,2,1,1,0,After Eight,أفتر ايت
2321461,1267458840,1480266348,2060,660,1560,0,,NULL,1,19,1,73,Spago,سباجو
2321462,1267458840,1445870077,2061,720,1560,0,"Since its debut in the Egyptian market 8 years ago, Amer’s Alain Le Notre chain has established a solid reputation for quality and elegance. With 10 strategically located branches throughout the country, Alain Le Notre is a favorite gathering place for Egypt’s elite.",,1,1,6,12,Alain Le Notre (Closed),ألان لو نوتر(مغلق)
2321463,1267458840,1379601780,2062,60,1560,0,,NULL,1,0,1,0,Alto's Bistro (Closed),التوز بيسترو ( مغلق)
2321464,1267458840,1470839218,2063,660,1560,0,,,2,3,1,0,Andrea Maadi,أندريا المعادى
2321465,1267458840,1396705560,2064,660,1560,0,,NULL,1,0,1,0,Aqua (Closed),أكوا ( مغلق)
2321466,1267458840,1478428172,2065,720,1560,0,,,1,47,12,58,Arabiata El Shabrawy,أرابياتا الشبراوى
2321467,1267458840,1445873918,2066,60,1560,0,,NULL,1,2,1,0,Arabica (Closed),أرابيكا (مغلق)
2321468,1267458840,1475078943,2067,720,720,0,,تعد سلسله مطاعم ارزاق الكوثر من اقوى مطاعم الطعام الشرقى فى مصر، حيث تدمج مابين اصاله الطعام الشرقى كالفول و الفلافل و الكشرى و بين الوجبات السريعه و سندوتشات اللحوم و الدجاج الشهيه. نتميز بوجود روح العائله بمطاعمنا و توافر كل ما يلائم اى ذوق من اذواق عملائنا اللذين هم اهم ما لدينا,1,7,2,5,Arzak Al Qawther,أرزاق الكوثر
2321469,1267458840,1477927193,2068,660,1560,0,,,3,24,6,80,Asian Corner,الركن الاسيوي
2321470,1267458840,1480597488,2069,720,1560,0,,NULL,1,5,1,0,Ataturk,أتاتورك
2321471,1267458840,1479205964,2070,60,1560,0,,NULL,1,13,13,49,Beano's Cafe,كافيه بينوس
2321472,1267458840,1480936024,2071,660,1560,0,,NULL,1,0,1,10,Bella,بيلا
2321473,1267458840,1471175789,2072,720,1560,0,,NULL,1,1,1,0,Bert's Cafe,بيرتس كافيه
2321474,1267458840,1471177655,2073,60,1560,0,,NULL,3,0,1,0,Beymen Cafe,بايمن كافيه
2321475,1267458840,1478687264,2074,660,1560,0,,,2,67,4,43,Bistro,بيسترو
2321476,1267458840,1472986376,2075,720,1560,0,,NULL,1,1,2,0,Bistro Rouge,بيسترو روج
2321477,1267458840,1476794069,2076,60,1560,0,,NULL,1,14,2,31,Bob Sushi,بوب سوشى
2321478,1267458840,1472986445,2077,660,1560,0,,,1,24,5,10,Bon Appetit,بون ابيتي
2321479,1267458840,1472733715,2078,660,1560,0,,NULL,1,0,1,0,Branzino,برانزينو
2321480,1267458840,1478785817,2079,720,1560,0,,,1,114,12,105,Buffalo Burger,بافلو برجر
2321481,1267458840,1476959914,2080,60,1560,0,,,1,25,3,24,Burger Joint,برجر جوينت
2321482,1267458840,1477998507,2081,720,720,0,,,1,47,19,70,Burger King,برجر كينج
2321483,1267458840,1396483680,2082,660,1560,0,,NULL,1,4,1,0,Cafe Mo (Closed),كافيه مو ( مغلق)
2321484,1267458840,1471252391,2083,720,1560,0,,NULL,1,2,1,27,Cafe Tabasco,كافيه تاباسكو
2321485,1267458840,1477231404,2084,60,1560,0,,NULL,1,2,1,0,Cairo Jazz Club,كايرو جاز كلوب
2321486,1267458840,1472122023,2085,660,1560,0,,,1,13,1,8,Nawab,نواب
2321487,1267458840,1479371129,2086,720,1560,0,Check Out Our ALL NEW and Revamped Delivery Menu,,2,37,5,168,Casper & Gambini's,كاسبر اند جامبينيز
2321488,1267458840,1441740526,2087,60,1560,0,,NULL,1,0,1,0,Chez Martine (Closed),شي مارتين (مغلق)
2321489,1267458840,1478615501,2088,720,720,0,,,1,41,13,34,Chicken Tikka,دجاج تكا
2321490,1267458840,1478610480,2089,660,1560,0,,,1,94,14,326,Chili's,تشيليز
2321491,1267458840,1455461526,2090,720,1560,0,,NULL,1,0,1,2,Chopsticks (Closed),شوبستيكس (مغلق)
2321492,1267458840,1400414557,2091,60,1560,0,,NULL,1,0,2,0,Ciccio (Closed),تشيشكو ( مغلق)
2321493,1267458840,1399560376,2092,660,1560,0,,NULL,1,0,1,0,Lindo (Closed),ليندو ( مغلق)
2321494,1267458840,1479028549,2093,660,1560,0,,,1,37,29,24,Cilantro,سيلانترو
2321495,1267458840,1478516803,2094,720,1560,0,,,1,43,14,192,Cinnabon Bakery Cafe,سينابون بيكرى كافيه
2321496,1267458840,1478882480,2095,60,1560,0,,,2,17,6,26,Coffeeshop Company,كوفى شوب كومبانى
2321497,1267458840,1445439209,2096,660,1560,0,,NULL,1,0,1,0,Condetti (Closed),كونديتي (مغلق)
2321498,1267458840,1480324803,2097,720,1560,0,,,1,89,39,63,Cook Door,كوك دور
2321499,1267458840,1479107770,2098,60,1560,0,,,1,39,8,64,Cortigiano,كورتيجيانو
2321500,1267458840,1476789109,2099,720,720,0,,NULL,1,7,1,1,Da Franco,دا فرانكو
2321501,1267458840,1474541511,2100,660,1620,0,,,1,19,2,21,Didos Al Dente,ديدوس أل دنتي
2321502,1267458840,1479372829,2101,720,1620,0,,,1,62,16,83,Domino's Pizza,دومينوز بيتزا
2321503,1267458840,1475144626,2102,60,1620,0,,NULL,1,8,1,2,Dragon House,
2321504,1267458840,1464612514,2103,720,1620,0,,NULL,1,1,1,0,Dunes Lounge(  closed),ديونز لاونج(مغلق)
2321505,1267458840,1472116970,2104,660,1620,0,,NULL,1,0,1,3,Dusit Gourmet,دوسيت جورمت
2321506,1267458840,1477302998,2105,720,1620,0,,NULL,1,1,1,2,Egyptian Nights,ايجيبشن نايتس
2321507,1267458840,1478509783,2106,60,1620,0,,NULL,1,5,4,10,Einstein Kaffee,أينشتاين كافيه
2321508,1267458840,1480428395,2107,660,1620,0,,NULL,1,29,3,10,El Dawar,الدوار
2321509,1267458840,1476264237,2108,660,1620,0,,,1,6,5,3,El Omda,العمدة
2321510,1267458840,1471267357,2109,720,1620,0,,NULL,1,4,1,1,El Shader,الشادر
2321511,1267458840,1476961232,2110,60,1620,0,,مطعم الست حسنية يقدم الأكل المصري الأصيل المتميز الذي يفرقنا عن العالم بطريقة تجعلنا نفخر إن نحن مصريين!!,1,7,3,3,El Sit Hosneya,الست حسنية
2321512,1267458840,1424864239,2111,660,1620,0,,NULL,1,1,2,0,Estacoza Seafood (Closed),اسماك أستاكوزا (مغلق)
2321513,1267458840,1380494280,2112,720,1620,0,,NULL,1,0,1,0,Ethos Cafe (Closed),ايثوز كافيه ( مغلق)
2321514,1267458840,1480585588,2113,60,1620,0,,NULL,1,7,1,16,Euro Deli,يورو ديلى
